"serialnumber","sharewithresearchasofdate","birthday","registrationdate","sharewithpublicasofdate","customername","email","lastupdatedate","phone","sharewithfriendsasofdate"
"35aa4c4a-5d37-4375-8146-2d86fa155d4d","1655564155745","987-01-01","1655564155745","1655564155745","Angie Howard","Angie.Howard@test.com","1655564155745","8015551212","1655564155745"
"a7983496-a008-49d9-b075-696e1740a265","1655564125759","1403-01-01","1655564125759","1655564125759","Ben Jefferson","Ben.Jefferson@test.com","1655564125759","8015551212","1655564125759"
"164e5b13-de9f-4f9f-87c8-92e9721acd3e","1655564427294","1226-01-01","1655564427294","1655564427294","Bobby Clark","Bobby.Clark@test.com","1655564427294","8015551212",
"eac464c3-b61e-4c89-8081-035da4752f6b","1655564389961","1722-01-01","1655564389961","1655564389961","Craig Staples","Craig.Staples@test.com","1655564389961","8015551212",
"b4d4a353-240b-4eb0-9299-697f1aebe7e9","1655564439443","1060-01-01","1655564439443",,"Edward Khatib","Edward.Khatib@test.com","1655564439443","8015551212",
"010f180d-eec9-4a5b-a03b-7feddbf08b62","1655564419073","1336-01-01","1655564419073","1655564419073","Jacob Aristotle","Jacob.Aristotle@test.com","1655564419073","8015551212",
"d064a96f-820f-47ae-b53c-ed9552c6ff11","1655564156745","973-01-01","1655564156745","1655564156745","Jerry Gonzalez","Jerry.Gonzalez@test.com","1655564156745","8015551212","1655564156745"
"6f911852-1ea3-478a-a09f-a6e7bd0a50e1","1655564384579","1792-01-01","1655564384579","1655564384579","Jerry Jackson","Jerry.Jackson@test.com","1655564384579","8015551212","1655564384579"
"7b4c901c-847e-4282-b4b1-9c44e0a427f7","1655564402247","1563-01-01","1655564402247",,"Larry Clayton","Larry.Clayton@test.com","1655564402247","8015551212",
"d68fa4e1-656f-4ae0-aa4f-73de4558a942","1655564399460","1601-01-01","1655564399460","1655564399460","Lyn Abram","Lyn.Abram@test.com","1655564399460","8015551212",
"bc8f04ed-2893-42a4-b96f-cd483b20325a","1655563980199","1126-01-01","1655563980199","1655563980199","Manoj Khatib","Manoj.Khatib@test.com","1655563980199","8015551212",
"7d59e687-b190-4d1d-b906-d0d1665954f9","1655564426840","1232-01-01","1655564426840",,"Sarah Anandh","Sarah.Anandh@test.com","1655564426840","8015551212",
"7a89ca19-ff59-4f5e-a98f-f7edf54d6a8c","1655564112557","1588-01-01","1655564112557",,"Suresh Sanchez","Suresh.Sanchez@test.com","1655564112557","8015551212",
"e097951c-b656-4ec5-9459-91ae73409ada","1655564439908","1054-01-01","1655564439908",,"Travis Howard","Travis.Howard@test.com","1655564439908","8015551212",
"00c5844e-ebb4-486b-aac6-17a9b9c80449","1655564406152","1508-01-01","1655564406152","1655564406152","Travis Olson","Travis.Olson@test.com","1655564406152","8015551212",
"4b510837-515e-4656-b8d5-4f2fe1889fd1","1655564087601","1937-01-01","1655564087601",,"Trevor Spencer","Trevor.Spencer@test.com","1655564087601","8015551212",
"d80edebc-624d-442f-a1ac-21c7bd628920","1655564154282","1008-01-01","1655564154282","1655564154282","Ashley Davis","Ashley.Davis@test.com","1655564154282","8015551212","1655564154282"
"98ec1419-44b7-4016-a584-777f96115cce","1655564151428","1045-01-01","1655564151428","1655564151428","Ben Davis","Ben.Davis@test.com","1655564151428","8015551212","1655564151428"
"00d190b9-9499-42e5-a05d-a6ee00d6447a","1655563950042","1572-01-01","1655563950042","1655563950042","Bobby Khatib","Bobby.Khatib@test.com","1655563950042","8015551212","1655563950042"
"b54391f7-fa80-4020-9474-16fc31510205","1655564437991","1080-01-01","1655564437991",,"Christina Clayton","Christina.Clayton@test.com","1655564437991","8015551212","1655564437991"
"026a08cf-0774-4ee9-9651-b2fc6c440116","1655564414489","1398-01-01","1655564414489",,"Dan Huey","Dan.Huey@test.com","1655564414489","8015551212",
"167b9c6e-7a4e-4da2-a880-5c76a7535ce1","1655564407584","1489-01-01","1655564407584",,"Danny Fibonnaci","Danny.Fibonnaci@test.com","1655564407584","8015551212",
"fbc149ea-9d41-48d7-acb4-ae7dbaf4fc38","1655564397756","1623-01-01","1655564397756",,"Danny Sanchez","Danny.Sanchez@test.com","1655564397756","8015551212",
"b2a8fd05-fd08-4bee-bf18-58f0fbeeb98e","1655564436268","1104-01-01","1655564436268","1655564436268","Jerry Jones","Jerry.Jones@test.com","1655564436268","8015551212",
"d2ff3040-3bec-4894-b51f-76a8df1ce1f4","1655564396106","1644-01-01","1655564396106",,"Lyn Doshi","Lyn.Doshi@test.com","1655564396106","8015551212",
"e4bdf2df-aad9-4f1c-a620-8994569af8bf","1655564419145","1335-01-01","1655564419145","1655564419145","Manoj Abram","Manoj.Abram@test.com","1655564419145","8015551212","1655564419145"
"b902cbd2-e489-45f9-8d99-99c561a5ed14","1655564405855","1512-01-01","1655564405855","1655564405855","Neeraj Davis","Neeraj.Davis@test.com","1655564405855","8015551212",
"4772b7df-d506-4939-8b34-3b4a620fae94","1655564387654","1751-01-01","1655564387654",,"Sarah Hansen","Sarah.Hansen@test.com","1655564387654","8015551212",
"4dd49d94-facc-4e34-b5ec-281994c1f36a","1655564439673","1057-01-01","1655564439673","1655564439673","Sean Jefferson","Sean.Jefferson@test.com","1655564439673","8015551212",
"1dfad22d-e71f-41bc-88ea-94e904275b35","1655564376196","1902-01-01","1655564376196","1655564376196","Senthil Howard","Senthil.Howard@test.com","1655564376196","8015551212",
"8a6ff576-1011-4abe-8889-e3c8a2a755f6","1655564396478","1639-01-01","1655564396478",,"Spencer Jones","Spencer.Jones@test.com","1655564396478","8015551212","1655564396478"
"39d8889a-d478-4bbc-b7b4-ce7ad3500d0a","1655563971213","1262-01-01","1655563971213",,"Travis Aristotle","Travis.Aristotle@test.com","1655563971213","8015551212","1655563971213"
"40bc8841-2f6f-47ef-9d1a-a3b3c626d4ad","1655564399604","1599-01-01","1655564399604","1655564399604","Trevor Jefferson","Trevor.Jefferson@test.com","1655564399604","8015551212",
"d171178c-13ef-4fec-83c2-8df0b5eda02a","1655564419215","1334-01-01","1655564419215","1655564419215","Trevor Wu","Trevor.Wu@test.com","1655564419215","8015551212",
"f7132b49-769b-4d7a-b364-38c2c09c93d7","1655562697854","1531-01-01","1655562634681",,"Ashley Aristotle","Ashley.Aristotle@test.com","1655562697854","8015551212","1655562697854"
"ba8b14f2-5aed-405d-93bb-993bc9bb930a","1655564437628","1085-01-01","1655564437628",,"Christina Doshi","Christina.Doshi@test.com","1655564437628","8015551212","1655564437628"
"0bfa6f7c-3a73-4f2f-8a36-e591140b0a29","1655564410411","1453-01-01","1655564410411","1655564410411","Dan Doshi","Dan.Doshi@test.com","1655564410411","8015551212","1655564410411"
"3613e71f-6d4f-4cf1-8c89-23f33441e6c9","1655562521196","1005-01-01","1655562458357","1655562521196","Dan Phillips","Dan.Phillips@test.com","1655562521196","8015551212","1655562521196"
"ba582015-fbb3-4842-887a-e291f773df84","1655564429221","1201-01-01","1655564429221",,"David Mitra","David.Mitra@test.com","1655564429221","8015551212",
"c20342f4-9ddc-4c22-b9db-d8221290b3e8","1655564446367","971-01-01","1655564446367","1655564446367","Eric Mitra","Eric.Mitra@test.com","1655564446367","8015551212",
"2e609327-b859-4a5c-8093-31e00e9057d2","1655564104265","1703-01-01","1655564104265",,"Frank Mitra","Frank.Mitra@test.com","1655564104265","8015551212","1655564104265"
"566a4578-c44c-474c-a645-eb6d9349e77a","1655564445587","981-01-01","1655564445587",,"Frank Smith","Frank.Smith@test.com","1655564445587","8015551212","1655564445587"
"531bee92-b009-46df-8663-8f31ee4b1e63","1655564087174","1943-01-01","1655564087174","1655564087174","Jacob Clark","Jacob.Clark@test.com","1655564087174","8015551212",
"a5d63530-aa58-4a81-b872-ec3ee6ef8200","1655564106007","1677-01-01","1655564106007",,"Jaya Aristotle","Jaya.Aristotle@test.com","1655564106007","8015551212","1655564106007"
