"user","timestamp","x","y","z"
"Chris.Wu@test.com","1655564473304","-1.0","1.0","-1.0"
"Chris.Wu@test.com","1655564457440","-1.0","-1.0","-1.0"
"Chris.Wu@test.com","1655564421746","1.0","-1.0","-1.0"
"Chris.Wu@test.com","1655564481236","1.0","-1.0","-1.0"
"Chris.Wu@test.com","1655564425712","1.0","-1.0","-1.0"
"Craig.Sanchez@test.com","1655564001425","-1.0","-1.0","-1.0"
"Craig.Sanchez@test.com","1655563988595","1.0","-1.0","-1.0"
"Craig.Sanchez@test.com","1655563986029","1.0","1.0","-1.0"
"Danny.Lincoln@test.com","1655562001765","-1.0","1.0","-1.0"
"Danny.Lincoln@test.com","1655562013465","1.0","-1.0","-1.0"
"Danny.Lincoln@test.com","1655562017365","-1.0","1.0","-1.0"
"Danny.Lincoln@test.com","1655562001765","1.0","-1.0","-1.0"
"David.Doshi@test.com","1655562647337","-1.0","1.0","-1.0"
"David.Doshi@test.com","1655562585011","1.0","1.0","-1.0"
"David.Doshi@test.com","1655562655836","1.0","-1.0","-1.0"
"David.Doshi@test.com","1655562607675","-1.0","-1.0","-1.0"
"David.Doshi@test.com","1655562619007","-1.0","-1.0","-1.0"
"David.Doshi@test.com","1655562664335","-1.0","1.0","-1.0"
"David.Gonzalez@test.com","1655564452236","-1.0","1.0","-1.0"
"David.Gonzalez@test.com","1655564508954","1.0","1.0","-1.0"
"David.Gonzalez@test.com","1655564462100","1.0","-1.0","-1.0"
"David.Gonzalez@test.com","1655564481828","1.0","-1.0","-1.0"
"Eric.Sanchez@test.com","1655564146327","1.0","1.0","-1.0"
"Eric.Sanchez@test.com","1655564126131","-1.0","-1.0","-1.0"
"Gail.Clark@test.com","1655564404118","1.0","-1.0","-1.0"
"Gail.Clark@test.com","1655564369018","1.0","-1.0","-1.0"
"Gail.Clark@test.com","1655564431118","-1.0","1.0","-1.0"
"Gail.Clark@test.com","1655564409518","-1.0","-1.0","-1.0"
"Gail.Clark@test.com","1655564393318","1.0","-1.0","-1.0"
"Gail.Clark@test.com","1655564433818","1.0","-1.0","-1.0"
"Gail.Clark@test.com","1655564436518","1.0","1.0","-1.0"
"Jason.Jackson@test.com","1655564435332","1.0","-1.0","-1.0"
"Jason.Jackson@test.com","1655564458528","1.0","-1.0","-1.0"
"Jason.Jackson@test.com","1655564388940","1.0","1.0","-1.0"
"Jerry.Smith@test.com","1655564474140","1.0","-1.0","-1.0"
"Jerry.Smith@test.com","1655564439018","-1.0","1.0","-1.0"
"Jerry.Smith@test.com","1655564420424","1.0","1.0","-1.0"
"Jerry.Smith@test.com","1655564436952","-1.0","-1.0","-1.0"
"Jerry.Smith@test.com","1655564472074","-1.0","1.0","-1.0"
"John.Spencer@test.com","1655564101461","-1.0","-1.0","-1.0"
"John.Spencer@test.com","1655564119626","-1.0","1.0","-1.0"
"John.Spencer@test.com","1655564163222","1.0","1.0","-1.0"
"John.Spencer@test.com","1655564076030","1.0","1.0","-1.0"
"John.Spencer@test.com","1655564086929","-1.0","-1.0","-1.0"
"Larry.Gonzalez@test.com","1655564427436","-1.0","-1.0","-1.0"
"Larry.Gonzalez@test.com","1655564491436","1.0","1.0","-1.0"
"Larry.Gonzalez@test.com","1655564423436","-1.0","-1.0","-1.0"
"Larry.Gonzalez@test.com","1655564383436","1.0","-1.0","-1.0"
"Liz.Clark@test.com","1655564190571","-1.0","-1.0","-1.0"
"Liz.Clark@test.com","1655564170375","-1.0","1.0","-1.0"
"Liz.Clark@test.com","1655564197303","1.0","-1.0","-1.0"
"Liz.Clark@test.com","1655564173741","1.0","-1.0","-1.0"
"Liz.Clark@test.com","1655564207401","-1.0","-1.0","-1.0"
"Liz.Khatib@test.com","1655564446969","-1.0","-1.0","-1.0"
"Liz.Khatib@test.com","1655564400469","1.0","-1.0","-1.0"
"Liz.Khatib@test.com","1655564446969","-1.0","1.0","-1.0"
"Liz.Khatib@test.com","1655564394269","-1.0","1.0","-1.0"
"Liz.Sanchez@test.com","1655564144194","1.0","1.0","-1.0"
"Liz.Smith@test.com","1655564459181","-1.0","1.0","-1.0"
"Liz.Smith@test.com","1655564477381","1.0","-1.0","-1.0"
"Santosh.Wu@test.com","1655564476965","1.0","1.0","-1.0"
