"user","timestamp","x","y","z"
"Ashley.Khatib@test.com","1655564447947","-1.0","-1.0","0.0"
"Ashley.Khatib@test.com","1655564422985","-1.0","0.0","-1.0"
"Ashley.Khatib@test.com","1655564412287","0.0","-1.0","-1.0"
"Ashley.Khatib@test.com","1655564430117","0.0","1.0","0.0"
"Ashley.Khatib@test.com","1655564490739","0.0","-1.0","0.0"
"Ashley.Khatib@test.com","1655564483607","-1.0","0.0","0.0"
"Ashley.Khatib@test.com","1655564451513","-1.0","1.0","-1.0"
"Ashley.Khatib@test.com","1655564415853","0.0","0.0","-1.0"
"Ashley.Khatib@test.com","1655564422985","0.0","-1.0","-1.0"
"Ashley.Khatib@test.com","1655564444381","0.0","1.0","-1.0"
"Ashley.Khatib@test.com","1655564472909","1.0","0.0","-1.0"
"Dan.Anderson@test.com","1655564501007","1.0","0.0","-1.0"
"Dan.Anderson@test.com","1655564456207","1.0","0.0","-1.0"
"Dan.Anderson@test.com","1655564461807","1.0","-1.0","-1.0"
"Dan.Anderson@test.com","1655564470207","0.0","1.0","0.0"
"Dan.Anderson@test.com","1655564481407","1.0","-1.0","0.0"
"Dan.Anderson@test.com","1655564515007","1.0","0.0","-1.0"
"Dan.Anderson@test.com","1655564467407","-1.0","0.0","0.0"
"Dan.Anderson@test.com","1655564439407","0.0","-1.0","-1.0"
"Dan.Anderson@test.com","1655564445007","0.0","-1.0","0.0"
"Dan.Anderson@test.com","1655564436607","-1.0","-1.0","0.0"
"Dan.Anderson@test.com","1655564489807","-1.0","0.0","-1.0"
"Dan.Anderson@test.com","1655564509407","1.0","1.0","0.0"
"Dan.Anderson@test.com","1655564512207","0.0","1.0","-1.0"
"Dan.Anderson@test.com","1655564515007","1.0","-1.0","-1.0"
"Dan.Anderson@test.com","1655564461807","0.0","-1.0","-1.0"
"Dan.Anderson@test.com","1655564445007","-1.0","-1.0","-1.0"
"Dan.Anderson@test.com","1655564478607","-1.0","1.0","0.0"
"Dan.Anderson@test.com","1655564487007","0.0","-1.0","-1.0"
"Dan.Anderson@test.com","1655564447807","-1.0","1.0","0.0"
"Dan.Anderson@test.com","1655564456207","-1.0","1.0","0.0"
"Dan.Anderson@test.com","1655564484207","-1.0","-1.0","-1.0"
"Dan.Anderson@test.com","1655564498207","1.0","1.0","-1.0"
"Dan.Anderson@test.com","1655564506607","0.0","-1.0","0.0"
"Dan.Anderson@test.com","1655564509407","1.0","0.0","0.0"
"Dan.Anderson@test.com","1655564484207","1.0","-1.0","0.0"
"Dan.Anderson@test.com","1655564475807","1.0","1.0","0.0"
"Dan.Mitra@test.com","1655564032925","-1.0","0.0","0.0"
"Dan.Mitra@test.com","1655564032925","-1.0","0.0","-1.0"
"Dan.Mitra@test.com","1655564020661","1.0","-1.0","-1.0"
"Dan.Mitra@test.com","1655564039057","-1.0","0.0","-1.0"
"Dan.Mitra@test.com","1655563974671","0.0","0.0","0.0"
"Dan.Mitra@test.com","1655563986935","1.0","0.0","-1.0"
"Dan.Mitra@test.com","1655564002265","1.0","-1.0","-1.0"
"Dan.Mitra@test.com","1655564045189","-1.0","0.0","0.0"
"Dan.Mitra@test.com","1655564020661","-1.0","1.0","0.0"
"Dan.Mitra@test.com","1655563974671","0.0","1.0","0.0"
"Dan.Mitra@test.com","1655563990001","0.0","-1.0","0.0"
"Dan.Mitra@test.com","1655563971605","0.0","0.0","-1.0"
"Dan.Mitra@test.com","1655563971605","1.0","0.0","0.0"
"Dan.Mitra@test.com","1655563993067","1.0","0.0","-1.0"
"Dan.Mitra@test.com","1655564026793","1.0","-1.0","-1.0"
